geneid,node1,node2,node1_string_id,node2_string_id,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
602,BCL3,IL1B,9606.ENSP00000164227,9606.ENSP00000263341,0.0,0.0,0.657,0.719
602,BCL3,ICAM1,9606.ENSP00000164227,9606.ENSP00000264832,0.0,0.0,0.545,0.666
4616,GADD45B,CSRNP1,9606.ENSP00000215631,9606.ENSP00000273153,0.0,0.0,0.378,0.858
4616,GADD45B,CCNB2,9606.ENSP00000215631,9606.ENSP00000288207,0.0,0.9,0.298,0.926
5008,OSM,IL1B,9606.ENSP00000215781,9606.ENSP00000263341,0.0,0.0,0.62,0.749
5008,OSM,ICAM1,9606.ENSP00000215781,9606.ENSP00000264832,0.0,0.0,0.369,0.401
5008,OSM,EGF,9606.ENSP00000215781,9606.ENSP00000265171,0.0,0.0,0.577,0.577
81027,TUBB1,ACRBP,9606.ENSP00000217133,9606.ENSP00000229243,0.0,0.0,0.106,0.784
81027,TUBB1,ALOX12,9606.ENSP00000217133,9606.ENSP00000251535,0.0,0.0,0.042,0.409
81027,TUBB1,NRGN,9606.ENSP00000217133,9606.ENSP00000284292,0.0,0.0,0.193,0.526
81027,TUBB1,PF4,9606.ENSP00000217133,9606.ENSP00000296029,0.0,0.0,0.226,0.623
81027,TUBB1,CLEC1B,9606.ENSP00000217133,9606.ENSP00000298527,0.103,0.0,0.088,0.546
10135,NAMPT,IL1B,9606.ENSP00000222553,9606.ENSP00000263341,0.0,0.0,0.584,0.661
10135,NAMPT,ICAM1,9606.ENSP00000222553,9606.ENSP00000264832,0.0,0.0,0.372,0.432
2645,GCK,GYS2,9606.ENSP00000223366,9606.ENSP00000261195,0.0,0.0,0.569,0.616
84519,ACRBP,ALOX12,9606.ENSP00000229243,9606.ENSP00000251535,0.0,0.0,0.0,0.445
84519,ACRBP,NRGN,9606.ENSP00000229243,9606.ENSP00000284292,0.0,0.0,0.125,0.446
84519,ACRBP,CLEC1B,9606.ENSP00000229243,9606.ENSP00000298527,0.0,0.0,0.065,0.451
6678,SPARC,SNAI1,9606.ENSP00000231061,9606.ENSP00000244050,0.0,0.0,0.37,0.471
6678,SPARC,IL1B,9606.ENSP00000231061,9606.ENSP00000263341,0.0,0.0,0.43,0.43
6678,SPARC,EGF,9606.ENSP00000231061,9606.ENSP00000265171,0.0,0.0,0.596,0.598
6678,SPARC,ITGB5,9606.ENSP00000231061,9606.ENSP00000296181,0.0,0.0,0.205,0.428
3485,IGFBP2,IL1B,9606.ENSP00000233809,9606.ENSP00000263341,0.0,0.0,0.587,0.587
3485,IGFBP2,ICAM1,9606.ENSP00000233809,9606.ENSP00000264832,0.0,0.0,0.493,0.493
3485,IGFBP2,EGF,9606.ENSP00000233809,9606.ENSP00000265171,0.0,0.0,0.47,0.47
3485,IGFBP2,PTX3,9606.ENSP00000233809,9606.ENSP00000295927,0.0,0.0,0.395,0.404
7130,TNFAIP6,IL1B,9606.ENSP00000243347,9606.ENSP00000263341,0.0,0.0,0.696,0.752
7130,TNFAIP6,SELP,9606.ENSP00000243347,9606.ENSP00000263686,0.0,0.0,0.48,0.514
7130,TNFAIP6,ICAM1,9606.ENSP00000243347,9606.ENSP00000264832,0.0,0.0,0.356,0.427
7130,TNFAIP6,EGF,9606.ENSP00000243347,9606.ENSP00000265171,0.133,0.0,0.416,0.472
7130,TNFAIP6,BMP6,9606.ENSP00000243347,9606.ENSP00000283147,0.275,0.0,0.248,0.432
7130,TNFAIP6,PTX3,9606.ENSP00000243347,9606.ENSP00000295927,0.405,0.0,0.95,0.975
7130,TNFAIP6,PF4,9606.ENSP00000243347,9606.ENSP00000296029,0.405,0.0,0.172,0.497
6615,SNAI1,KRT5,9606.ENSP00000244050,9606.ENSP00000252242,0.0,0.0,0.411,0.41
6615,SNAI1,SMAD7,9606.ENSP00000244050,9606.ENSP00000262158,0.066,0.0,0.571,0.635
6615,SNAI1,IL1B,9606.ENSP00000244050,9606.ENSP00000263341,0.0,0.0,0.478,0.489
6615,SNAI1,EGF,9606.ENSP00000244050,9606.ENSP00000265171,0.0,0.0,0.702,0.702
27076,LYPD3,KRT5,9606.ENSP00000244333,9606.ENSP00000252242,0.0,0.0,0.076,0.42
3852,KRT5,SLC7A5,9606.ENSP00000252242,9606.ENSP00000261622,0.045,0.0,0.424,0.427
3852,KRT5,EGF,9606.ENSP00000252242,9606.ENSP00000265171,0.0,0.0,0.514,0.514
2012,EMP1,ICAM1,9606.ENSP00000256951,9606.ENSP00000264832,0.0,0.0,0.511,0.532
10993,SDS,HGD,9606.ENSP00000257549,9606.ENSP00000283871,0.0,0.0,0.462,0.497
10024,TROAP,CCNB2,9606.ENSP00000257909,9606.ENSP00000288207,0.0,0.0,0.282,0.674
10024,TROAP,TPX2,9606.ENSP00000257909,9606.ENSP00000300403,0.0,0.0,0.274,0.676
10913,EDAR,TNFRSF21,9606.ENSP00000258443,9606.ENSP00000296861,0.0,0.0,0.575,0.575
5874,RAB27B,SELP,9606.ENSP00000262094,9606.ENSP00000263686,0.0,0.4,0.136,0.471
4092,SMAD7,IL1B,9606.ENSP00000262158,9606.ENSP00000263341,0.0,0.0,0.501,0.526
4092,SMAD7,EGF,9606.ENSP00000262158,9606.ENSP00000265171,0.0,0.0,0.419,0.418
4092,SMAD7,BMP6,9606.ENSP00000262158,9606.ENSP00000283147,0.095,0.0,0.554,0.587
3553,IL1B,SELP,9606.ENSP00000263341,9606.ENSP00000263686,0.0,0.0,0.721,0.746
3553,IL1B,ICAM1,9606.ENSP00000263341,9606.ENSP00000264832,0.0,0.0,0.885,0.912
3553,IL1B,EGF,9606.ENSP00000263341,9606.ENSP00000265171,0.0,0.0,0.762,0.762
3553,IL1B,PTX3,9606.ENSP00000263341,9606.ENSP00000295927,0.0,0.0,0.582,0.601
3553,IL1B,CXCL5,9606.ENSP00000263341,9606.ENSP00000296027,0.0,0.0,0.726,0.771
3553,IL1B,PF4,9606.ENSP00000263341,9606.ENSP00000296029,0.0,0.0,0.604,0.622
3553,IL1B,GSDMA,9606.ENSP00000263341,9606.ENSP00000301659,0.0,0.0,0.602,0.602
6403,SELP,ICAM1,9606.ENSP00000263686,9606.ENSP00000264832,0.0,0.0,0.927,0.932
6403,SELP,EGF,9606.ENSP00000263686,9606.ENSP00000265171,0.0,0.0,0.64,0.662
6403,SELP,ESAM,9606.ENSP00000263686,9606.ENSP00000278927,0.0,0.0,0.712,0.776
6403,SELP,PTX3,9606.ENSP00000263686,9606.ENSP00000295927,0.0,0.0,0.931,0.933
6403,SELP,CXCL5,9606.ENSP00000263686,9606.ENSP00000296027,0.0,0.0,0.38,0.428
6403,SELP,PF4,9606.ENSP00000263686,9606.ENSP00000296029,0.0,0.0,0.905,0.921
6403,SELP,CLEC1B,9606.ENSP00000263686,9606.ENSP00000298527,0.0,0.0,0.712,0.78
3383,ICAM1,EGF,9606.ENSP00000264832,9606.ENSP00000265171,0.0,0.0,0.577,0.577
